Country,Index
New Zealand,88
Finland,88
Denmark,88
Sweden,85
Singapore,85
Norway,85
Switzerland,84
Netherlands,82
Luxembourg,81
Germany,80
United Kingdom,78
Hong Kong,76
Ireland,74
Iceland,74
Estonia,74
Canada,74
Austria,74
Uruguay,73
Japan,73
Belgium,73
Australia,73
France,71
Seychelles,70
United Arab Emirates,69
Taiwan,68
Bhutan,68
United States,67
Chile,67
Barbados,65
Bahamas,64
Qatar,63
South Korea,62
Portugal,62
Spain,61
Lithuania,61
Brunei,60
St Vincent and the Grenadines,59
Latvia,59
Israel,59
Costa Rica,58
Cape Verde,58
Slovenia,57
St Lucia,56
Poland,56
Italy,56
Georgia,55
Dominica,55
Botswana,55
Mauritius,54
Malta,54
Czech Republic,54
Saudi Arabia,53
Rwanda,53
Grenada,53
Cyprus,53
Slovakia,52
Oman,52
Namibia,49
Jordan,49
Greece,49
Armenia,49
Malaysia,48
Croatia,47
Montenegro,46
Cuba,46
Vanuatu,45
Sao Tome and Principe,45
Romania,45
China,45
Tunisia,44
South Africa,44
Jamaica,44
Solomon Islands,43
Senegal,43
Kuwait,43
Hungary,43
Ghana,43
Burkina Faso,42
Bulgaria,42
Benin,42
Bahrain,42
Trinidad and Tobago,41
East Timor,41
Belarus,41
Maldives,40
India,40
Vietnam,39
Tanzania,39
Suriname,39
Morocco,39
Macedonia,39
Kosovo,39
Guyana,39
Ethiopia,39
Colombia,39
Turkey,38
Serbia,38
Lesotho,38
Indonesia,38
Brazil,38
Argentina,38
Sri Lanka,37
Kazakhstan,37
Gambia,37
Peru,36
Panama,36
Moldova,36
Ivory Coast,36
Ecuador,36
Thailand,35
Mongolia,35
Malawi,35
Bosnia and Herzegovina,35
Albania,35
Sierra Leone,34
El Salvador,34
Zambia,33
Philippines,33
Nepal,33
Egypt,33
Algeria,33
Ukraine,32
Swaziland,32
Papua New Guinea,31
Niger,31
Mexico,31
Gabon,31
Togo,30
Paraguay,30
Laos,30
Kenya,30
Dominican Republic,30
Djibouti,30
Bolivia,30
Azerbaijan,30
Russia,29
Mali,29
Liberia,29
Angola,29
Uzbekistan,28
Pakistan,28
Myanmar,28
Mauritania,28
Uganda,27
Kyrgyzstan,27
Cameroon,27
Mozambique,26
Madagascar,26
Bangladesh,26
Tajikistan,25
Iran,25
Guinea,25
Guatemala,25
Nigeria,24
Lebanon,24
Central African Republic,24
Zimbabwe,23
Iraq,23
Honduras,23
Cambodia,23
Eritrea,22
Guinea Bissau,21
Congo,21
Sudan,20
Nicaragua,20
Haiti,20
Comoros,20
Chad,20
Turkmenistan,19
Republic of the Congo,19
Burundi,19
Libya,17
Equatorial Guinea,17
Yemen,16
North Korea,16
Afghanistan,16
Venezuela,14
Syria,13
Somalia,13
South Sudan,11