Country,GDP_per_capita
Luxembourg,110584
Ireland,88588
Switzerland,88224
Cayman Islands,77959
Norway,77544
Singapore,66176
United States,61280
Australia,58780
Denmark,58586
Qatar,55920
Iceland,54292
Sweden,53693
Netherlands,48424
Finland,46471
United Kingdom,46209
Austria,45091
Hong Kong,44536
Canada,43946
Belgium,42787
Germany,42527
Macau,42093
New Zealand,40779
Israel,39913
France,38210
Andorra,37640
United Arab Emirates,37498
Euro Area,36352
Japan,35278
European Union,32755
South Korea,32645
Italy,31512
Brunei,29927
Puerto Rico,28237
Malta,27738
Cyprus,27715
Bahamas,27445
Spain,26239
Slovenia,24704
Kuwait,24429
Estonia,21421
Portugal,20732
Czech Republic,19609
Bahrain,19447
Saudi Arabia,19018
Greece,18831
Lithuania,18072
Slovakia,17923
St Kitts and Nevis,17112
Latvia,16406
Oman,15743
Seychelles,15713
Uruguay,15606
Poland,15550
Hungary,15487
Croatia,14888
Trinidad and Tobago,14878
Barbados,14513
Chile,14322
Venezuela,14025
Antigua and Barbuda,13873
Panama,13825
Palau,13251
Turkey,13251
Costa Rica,12932
Argentina,12391
Romania,11590
Kazakhstan,11265
China,11188
Guyana,11041
Malaysia,10827
Russia,10220
Mauritius,9422
Mexico,9255
St Lucia,9184
Grenada,9121
Libya,8753
Maldives,8674
Brazil,8551
Dominican Republic,8537
Bulgaria,8294
Turkmenistan,7693
St Vincent and the Grenadines,7387
Montenegro,7339
Suriname,7204
Cuba,7156
Serbia,7090
Dominica,6978
Botswana,6888
Gabon,6760
Equatorial Guinea,6576
Peru,6506
Colombia,6443
Belarus,6418
Thailand,6270
South Africa,5865
Bosnia and Herzegovina,5855
Paraguay,5823
Ecuador,5465
Azerbaijan,5340
Iran,5333
Macedonia,5287
Georgia,4927
Albania,4832
Jamaica,4728
Fiji,4708
Lebanon,4577
Iraq,4466
Guatemala,4372
Kosovo,4316
Armenia,4243
Sri Lanka,4157
Belize,4151
Mongolia,4121
Namibia,4099
Jordan,4092
Egypt,4086
El Salvador,4005
Samoa,3972
Swaziland,3958
Algeria,3914
Tunisia,3889
Indonesia,3856
Moldova,3754
Philippines,3413
Marshall Islands,3397
Vietnam,3373
Uzbekistan,3328
Bolivia,3126
Cape Verde,3106
West Bank and Gaza,3053
Morocco,2991
Bhutan,2880
Micronesia,2720
Papua New Guinea,2655
Vanuatu,2613
Laos,2582
Honduras,2480
Ukraine,2452
Nigeria,2422
Ivory Coast,2414
Angola,2332
Nicaragua,2098
Ghana,2085
Solomon Islands,2081
India,1961
Sudan,1811
Bangladesh,1715
Sao Tome and Principe,1690
Kenya,1644
East Timor,1626
Mauritania,1544
Republic of the Congo,1543
Pakistan,1507
Kiribati,1474
Cameroon,1433
Senegal,1410
Cambodia,1400
Zimbabwe,1362
Myanmar,1292
Zambia,1282
Tajikistan,1280
Haiti,1273
Benin,1261
Comoros,1255
Kyrgyzstan,1123
Yemen,1096
Tanzania,1075
Nepal,1050
Lesotho,1036
Guinea,965
Rwanda,903
Uganda,894
Ethiopia,852
Mali,782
Burkina Faso,760
Gambia,711
Togo,644
Sierra Leone,630
Guinea Bissau,628
Liberia,625
Chad,605
Mozambique,571
Afghanistan,530
Congo,518
Niger,510
Madagascar,450
Central African Republic,411
Malawi,394
Burundi,267